,borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,website,borocd,councildist,latitude,longitude,precinct,object_id,location_point,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,notes,ct2010,bbl,bin
296,Brooklyn,Ocean Hill,NW Corner of Howard Avenue & Herkimer Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,41,,,81,3460,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
297,Bronx,Pelham Bay-Country Club-City Island,NE Corner of City Island Avenue & Winter street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,210,13,,,45,3788,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
298,Manhattan,Financial District-Battery Park City,SmartComposting: Maiden Lane & Pearl Street,Maiden Lane and Pearl Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,https://downtownny.com/compost/,101,1,40.70688,-74.00684,1,3270,"{'type': 'Point', 'coordinates': [-74.00684, 40.70688]}",4.0,32.0,1.0,13096.0,56.0,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",,,
299,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Nostrand Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3529,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
300,Bronx,Mount Eden-Claremont (West),NW Corner of Sheridan Avenue & Marcy Place,NW Sheridan Avenue & Marcy Place,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,16,40.83726017,-73.9136583,44,3698,"{'type': 'Point', 'coordinates': [-73.9136583, 40.83726017]}",5.0,42.0,27.0,10934.0,50.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
301,Queens,Old Astoria-Hallets Point,21-03  31 Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3344,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
302,Queens,Rego Park,*CLOSED FEBRUARY* The Compost Collective,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",The Compost Collective,Year Round (Except February),Saturdays (Start Time: 12:00 PM - End Time:  2:00 PM),https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,30,40.71645,-73.85778,112,3793,"{'type': 'Point', 'coordinates': [-73.85778, 40.71645]}",3.0,28.0,70.0,14786.0,40.0,"Not accepted: meat, bones, or dairy",,,
303,Queens,Sunnyside,Woodside Sunnyside Composting,"38-63-38-1 50th St, Woodside, NY 11377",Volunteers at Woodside Sunnyside Composting,Year Round,"Sundays (Start Time: 2:00 PM - End Time:  5:00 PM (Spring, Summer))",https://www.woodsidesunnysidecomposting.org/,402,26,40.75013,-73.91369,108,3376,"{'type': 'Point', 'coordinates': [-73.91369, 40.75013]}",3.0,33.0,66.0,16861.0,53.0,"Not accepted: meat, bones, or dairy",,,
304,Brooklyn,Prospect Heights,Vanderbilt Avenue & Plaza Street East,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3507,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
305,Manhattan,Manhattanville-West Harlem,NE Corner of Convent Avenue & W 130 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,,,26,3606,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
306,Brooklyn,Bushwick (East),NE Corner of Knickerbocker Avenue & Covert Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3661,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
307,Brooklyn,Crown Heights (North),NE Corner of Rogers Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,36,,,77,3492,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
308,Queens,Astoria (Central),"S/E Corner of Crescent St & 30 Drive, on Crescent St","S/E Corner of Crescent St & 30 Drive, on Crescent St",Department of Sanitation,Year Round,24/10,www.smartcompost.nyc,401,22,40.766637,-73.926131,114,3302,"{'type': 'Point', 'coordinates': [-73.926131, 40.766637]}",3.0,4.0,72.0,16859.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
309,Bronx,Tremont,NE Corner of E 176 Street & Washington Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,206,15,,,48,3756,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
310,Bronx,Melrose,Rainbow Garden of Health,"757 Melrose Ave Bronx, NY 10451",,Year Round,"Wednesdays, Thursdays, Saturdays (Start Time: 10:00 AM - End Time:  W&Th 1:00 PM, Sat 2:00 PM)",,201,17,40.8215402,-73.9155499,40,3683,"{'type': 'Point', 'coordinates': [-73.9155499, 40.8215402]}",5.0,43.0,23.0,10929.0,49.0,"Not accepted: meat, bones, or dairy",,,
311,Brooklyn,Bushwick (East),SE Corner of Bushwick Avenue & Chauncey Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,37,,,83,3655,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
312,Manhattan,East Harlem (North),SW Corner of East 123rd Street & 2nd Avenue,SW East 123rd Street & 2nd Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,40.80154489,-73.93478706,25,3436,"{'type': 'Point', 'coordinates': [-73.93478706, 40.80154489]}",4.0,35.0,16.0,13093.0,7.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
313,Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))",www.bkrot.org,304,37,40.6840598,-73.9050492,83,3670,"{'type': 'Point', 'coordinates': [-73.9050492, 40.6840598]}",2.0,37.0,53.0,17214.0,42.0,"Not accepted: meat, bones, or dairy",,,
314,Brooklyn,East New York (North),East New York Farms: Concerned Residents of Barbey Street Community Garden,"351 Barbey St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),ucceny.org/enyf-old/compost/,305,42,40.6742335,-73.8878004,75,3729,"{'type': 'Point', 'coordinates': [-73.8878004, 40.6742335]}",2.0,37.0,47.0,17214.0,45.0,"Not accepted: meat, bones, or dairy",,,
315,Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  12:30 PM),grownyc.org/compost,106,4,40.752606,-73.969036,17,3623,"{'type': 'Point', 'coordinates': [-73.969036, 40.752606]}",4.0,51.0,9.0,12079.0,71.0,"Not accepted: meat, bones, or dairy",,,
316,Manhattan,Washington Heights (North),NW Corner of Audubon Avenue & W 192 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,,,34,3568,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
317,Manhattan,Harlem (South),SW Corner of St . Nicholas Avenue & W 118 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,,,28,3423,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
318,Bronx,Belmont,SW Corner of E 187 Street & Southern Boulevard,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,206,15,,,48,3761,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
319,Brooklyn,Bedford-Stuyvesant (East),SW Corner of Patchen Avenue & Monroe Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,81,3465,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
320,Brooklyn,Bensonhurst,Bensonhurst,18th Ave btwn 81st & 82nd Streets,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),grownyc.org/compost,311,38,40.609644,-73.999683,62,3612,"{'type': 'Point', 'coordinates': [-73.999683, 40.609644]}",2.0,45.0,37.0,17616.0,1.0,"Not accepted: meat, bones, or dairy",,,
321,Brooklyn,Crown Heights (North),NW Corner of Ralph Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,41,,,77,3480,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
322,Manhattan,Hamilton Heights-Sugar Hill,Jenny's Garden,699 West 138th Street,Jenny's Garden,Year Round,Sundays (Start Time: 12:00 PM - End Time:  1:00 PM),https://www.facebook.com/JennysGardenRiverside,109,7,40.823225,-73.95617,30,3391,"{'type': 'Point', 'coordinates': [-73.95617, 40.823225]}",4.0,23.0,19.0,12428.0,37.0,"Year Round: check social media for open hour updates + November - March only open on Saturday 11-12pm. ""WEATHER PERMITTING! Check IG/FB for weekend updates. Not accepted: meat, bones, or dairy Please DO NOT leave bags of food scraps by gate when the gard",225.0,,
323,Bronx,Bedford Park,Lehman College,"Gate 8: Bedford Park Blvd West & Paul Ave Bronx, NY 10468",Volunteers at Lehman College,Year Round,Mondays (Start Time: 9:00 AM - End Time:  12:00 PM),http://www.lehman.cuny.edu/,207,11,40.873838,-73.895344,52,3766,"{'type': 'Point', 'coordinates': [-73.895344, 40.873838]}",5.0,40.0,34.0,11606.0,24.0,"Not accepted: meat, bones, or dairy",,,
324,Manhattan,Financial District-Battery Park City,SmartComposting: Bowling Green (South),Bowling Green (inside south entrance),Alliance for Downtown New York,Year Round,"6 am ? 7:30, or when park gates are open",https://downtownny.com/compost/,101,1,40.70477,-74.01368,1,3275,"{'type': 'Point', 'coordinates': [-74.01368, 40.70477]}",4.0,32.0,1.0,11725.0,56.0,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",13.0,,
325,Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island Urban Center,208 Bay Street,Staten Island Urban Center,Year Round,Saturdays (Start Time: 11:00 AM - End Time:  1:30 PM),www.siurbancenter.org,501,49,40.6369271,-74.0767091,120,3835,"{'type': 'Point', 'coordinates': [-74.0767091, 40.6369271]}",1.0,13.0,74.0,10369.0,4.0,"Not accepted: meat, bones, or dairy",21.0,5004980066.0,5013259.0
326,Manhattan,Morningside Heights,SW Corner of W 114 Street & Amsterdam Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,,,26,3597,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
327,Brooklyn,Bedford-Stuyvesant (West),NE Corner of Bedford Avenue & Madison Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3524,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
328,Queens,Astoria (Central),SE Corner of Crescent Street & 30 Drive,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3333,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
329,Brooklyn,Bay Ridge,Bay Ridge,3rd Ave & 95th Street,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:30 PM),grownyc.org/compost,310,47,40.6174,-74.033703,68,3803,"{'type': 'Point', 'coordinates': [-74.033703, 40.6174]}",2.0,44.0,41.0,17216.0,10.0,"Not accepted: meat, bones, or dairy",,,
330,Manhattan,Harlem (North),NW Corner of W 132 Street & Adam Clayton Powell Jr Blvd,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,110,9,,,32,3408,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
331,Bronx,University Heights (South)-Morris Heights,SE Corner of West Tremont Avenue & University Avenue,SE West Tremont Avenue & University Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,40.85034468,-73.9153102,46,3744,"{'type': 'Point', 'coordinates': [-73.9153102, 40.85034468]}",5.0,29.0,29.0,10931.0,6.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
332,Manhattan,Chelsea-Hudson Yards,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,Chelsea Waterside Park near the playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,40.7489842,-74.0071142,10,3539,"{'type': 'Point', 'coordinates': [-74.0071142, 40.7489842]}",4.0,10.0,6.0,12074.0,12.0,"Not accepted: meat, bones, or dairy",,,
333,Manhattan,Inwood,SE Corner of Broadway & Academy Street,SE Broadway & Academy Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,40.86620151,-73.92508216,34,3571,"{'type': 'Point', 'coordinates': [-73.92508216, 40.86620151]}",4.0,39.0,22.0,13098.0,47.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
334,Brooklyn,Bushwick (West),NW Corner of Knickerbocker Avenue & Suydam Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,34,,,83,3634,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
335,Queens,Queensbridge-Ravenswood-Dutch Kills,34-04  24 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,26,,,114,3365,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
336,Brooklyn,Ocean Hill,Farmers Garden,1899 Bergen Street,Volunteers at Farmers Garden,Seasonal,"Thursdays, Saturdays, and Sundays (Start Time: TH 1PM, SAT&SUN 11AM - End Time:  TH 4PM, SAT & SUN 3PM)",,316,41,40.67465,-73.91823,73,3455,"{'type': 'Point', 'coordinates': [-73.91823, 40.67465]}",2.0,17.0,46.0,13516.0,55.0,"Not accepted: meat, bones, or dairy",303.0,3014460063.0,3000000.0
337,Queens,Old Astoria-Hallets Point,SW Corner of 27 Avenue & 8 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3348,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
338,Brooklyn,Crown Heights (North),NE Corner of Franklin Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3497,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
339,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Malcolm X Boulevard & Gates Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,81,3475,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
340,Queens,Astoria (Central),N/W corner of 31 ave and 35 st,N/W corner of 31 ave and 35 st,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76294,-73.92037,114,3290,"{'type': 'Point', 'coordinates': [-73.92037, 40.76294]}",3.0,4.0,72.0,16860.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
341,Queens,Astoria (Central),NW Corner of 37th St & 31st Ave,NW Corner of 37th St & 31st Ave [on 37th St],Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,40.76215339,-73.91852751,114,3307,"{'type': 'Point', 'coordinates': [-73.91852751, 40.76215339]}",3.0,4.0,72.0,16860.0,39.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
342,Bronx,Fordham Heights,SE Corner of Marion Avenue & E 187 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,15,,,46,3739,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
343,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Tompkins Avenue & Quincy Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,303,36,,,79,3519,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
344,Bronx,Mount Eden-Claremont (West),SE Corner of Townsend Avenue & E 174 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,204,16,,,44,3702,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
345,Brooklyn,Bushwick (West),SW Corner of Central Avenue & Noll Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,34,,,83,3629,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
346,Bronx,Mount Hope,NE Corner of E 181 Street & Morris Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,205,14,,,46,3751,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
347,Queens,Astoria (East)-Woodside (North),SW Corner of 31 Avenue & 51 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,26,,,114,3359,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
348,Queens,Astoria (Central),34-15 31 Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3322,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
349,Bronx,Riverdale-Spuyten Duyvil,Riverdale Neighborhood House,"5521 Mosholu Ave Bronx, NY 10471",Riverdale Neighborhood House,Year Round,Thursdays (Start Time: 1:00 PM - End Time:  6:00 PM),https://www.riverdaleonline.org/,208,11,40.9035436,-73.9038447,50,3776,"{'type': 'Point', 'coordinates': [-73.9038447, 40.9035436]}",5.0,40.0,33.0,11609.0,48.0,"Not accepted: meat, bones, or dairy",,,
350,Manhattan,Manhattanville-West Harlem,NE Corner of Amsterdam Avenue & W 133 Street,NE Corner of Amsterdam Avenue & W 133 Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,109,7,40.81762957,-73.95314779,26,3602,"{'type': 'Point', 'coordinates': [-73.95314779, 40.81762957]}",4.0,36.0,17.0,12428.0,37.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
351,Manhattan,Morningside Heights,Columbia Sunday Greenmarket,Broadway between 114th St. and 115th St.,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),grownyc.org/compost,109,7,40.807138,-73.96437,26,3591,"{'type': 'Point', 'coordinates': [-73.96437, 40.807138]}",4.0,23.0,17.0,12424.0,37.0,"Not accepted: meat, bones, or dairy",,,
352,Bronx,Concourse-Concourse Village,New Roots Community Farm,"670 Grand Concourse, The Bronx, NY 10451",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),grownyc.org/compost,204,16,40.82135,-73.92506,44,3687,"{'type': 'Point', 'coordinates': [-73.92506, 40.82135]}",5.0,43.0,27.0,10929.0,50.0,"Not accepted: meat, bones, or dairy",,,
353,Brooklyn,Bushwick (East),NE Corner of Bushwick Avenue & Himrod Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,304,34,,,83,3644,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
354,Brooklyn,East New York-New Lots,Rockaway Avenue Community Compost Site,"1149 Rockaway Avenue, Brooklyn NY, 11236",NYC Compost Project Hosted by LES Ecology Center,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,318,42,40.6516768,-73.9059912,69,3734,"{'type': 'Point', 'coordinates': [-73.9059912, 40.6516768]}",2.0,25.0,42.0,13827.0,5.0,"Not accepted: meat, bones, or dairy",,,
355,Brooklyn,Prospect Heights,SW Corner of Washington Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,308,35,,,77,3512,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
356,Queens,Jackson Heights,Fordham Plaza Food Scrap Drop-off,E Fordham Rd between Webster Ave & Third Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  11:30 AM),grownyc.org/compost,403,25,40.755111,-73.890783,115,3380,"{'type': 'Point', 'coordinates': [-73.890783, 40.755111]}",3.0,5.0,73.0,14781.0,65.0,"Not accepted: meat, bones, or dairy",,,
357,Queens,Astoria (Central),NE Corner of 31 Avenue & 37 Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,401,22,,,114,3321,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
358,Bronx,Soundview-Bruckner-Bronx River,NE Corner of Taylor Avenue & Archer Street,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,209,18,,,43,3712,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
359,Manhattan,East Harlem (North),Rodale Pleasant Park Community Garden,"437 E 114th St, New York, NY 10029",Rodale Pleasant Park Community Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,111,8,40.7942659,-73.9344142,23,3443,"{'type': 'Point', 'coordinates': [-73.9344142, 40.7942659]}",4.0,35.0,14.0,12426.0,7.0,"To volunteer, email Flosparks0306@gmail.com. Not accepted: meat, bones, or dairy",,,
360,Manhattan,Washington Heights (North),NW Corner of Audubon Avenue & West 192nd Street,NW Audubon Avenue & West 192nd Street,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,112,10,40.85571567,-73.92743781,34,3564,"{'type': 'Point', 'coordinates': [-73.92743781, 40.85571567]}",4.0,39.0,22.0,13098.0,47.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
361,Queens,Corona,Corona,"Roosevelt Ave at 103 Street, Queens",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  1:30 PM),grownyc.org/compost,404,21,40.749728,-73.862513,110,3387,"{'type': 'Point', 'coordinates': [-73.862513, 40.749728]}",3.0,21.0,68.0,14510.0,66.0,"Not accepted: meat, bones, or dairy",,,
362,Brooklyn,Kensington,Kensington Food Scrap Drop-off,McDonald Ave & Albemarle Rd,GrowNYC,Year Round,Saturdays (Start Time: 8:30 AM - End Time:  11:30 AM),grownyc.org/compost,312,39,40.64496,-73.98016,66,3619,"{'type': 'Point', 'coordinates': [-73.98016, 40.64496]}",2.0,27.0,39.0,17620.0,2.0,"Not accepted: meat, bones, or dairy",,,
363,Manhattan,East Harlem (South),SE Corner of East 106th Street & 3rd Avenue,SE East 106th Street & 3rd Avenue,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,111,8,40.79133768,-73.94494258,23,3448,"{'type': 'Point', 'coordinates': [-73.94494258, 40.79133768]}",4.0,35.0,14.0,12426.0,7.0,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
364,Manhattan,West Village,Abingdon Square Greenmarket,W 12th St and 8th Ave,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  2:00 PM),grownyc.org/compost,102,3,40.737472,-74.005095,6,3536,"{'type': 'Point', 'coordinates': [-74.005095, 40.737472]}",4.0,10.0,3.0,12077.0,57.0,"Not accepted: meat, bones, or dairy",77.0,,
365,Bronx,Crotona Park East,Synergi Urban Farm 2.0,"1211 Hoe Ave, Bronx, NY 10459",GreenFeen OrganiX,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  3:00 PM),https://www.facebook.com/holisticsynergi/,203,17,40.82914,-73.89114,42,3707,"{'type': 'Point', 'coordinates': [-73.89114000000001, 40.82914]}",5.0,43.0,25.0,10937.0,34.0,"Not accepted: meat, bones, or dairy",,,
366,Manhattan,Tribeca-Civic Center,SmartComposting: Broadway & Park Place,Broadway and Park Place (Northwest corner),Alliance for Downtown New York,Year Round,24/7,https://downtownny.com/compost/,101,1,40.712653,-74.007723,1,3279,"{'type': 'Point', 'coordinates': [-74.007723, 40.712653]}",4.0,32.0,1.0,11728.0,56.0,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",,,
367,Manhattan,Hell's Kitchen,Mathews-Palmer Park,"437 W 45 St, New York, NY 10036",Mathews-Palmer Park,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),,104,3,40.76113,-73.99292,18,3543,"{'type': 'Point', 'coordinates': [-73.99292, 40.76113]}",4.0,10.0,10.0,13094.0,12.0,"Please register to participate at bit.ly/HKcompost Setup is inside the park gate, under the mosaic panels, to the right of the park house door. Lids must remain closed and all food scraps must be placed INSIDE the bins",,,
368,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Red Hook Community Farm,103 Otsego St,NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,306,38,40.6726299,-74.0103773,76,3616,"{'type': 'Point', 'coordinates': [-74.0103773, 40.6726299]}",2.0,7.0,48.0,13514.0,14.0,,53.0,3006070001.0,3000000.0
369,Staten Island,Westerleigh-Castleton Corners,NE Corner of Victory Blvd & Slosson Avenue,,Department of Sanitation,Year Round,24/7,www.nyc.gov/smartcomposting,501,50,,,120,3839,,,,,,,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",,,
370,Manhattan,Washington Heights (South),Morris-Jumel Community Garden,457 West 162nd Street,NYC Compost Project Hosted by Earth Matter NY,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,112,10,40.8359312,-73.9391906,33,3575,"{'type': 'Point', 'coordinates': [-73.9391906, 40.8359312]}",4.0,39.0,21.0,13090.0,47.0,"Not accepted: meat, bones, or dairy",24301.0,1021100058.0,1000000.0
371,Queens,Old Astoria-Hallets Point,S/E Corner of 31 Ave and 14 St,S/E Corner of 31 Ave and 14 St,Department of Sanitation,Year Round,24/7,www.smartcompost.nyc,401,22,40.76816,-73.93198,114,3337,"{'type': 'Point', 'coordinates': [-73.93198, 40.76816]}",3.0,4.0,72.0,16859.0,39.0,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",,,
